Filename,site,Sample,d_n,date,run_date,gc_n,file,batch,n
Ihyb_732A_N_220727_7292022_01.qgd,Ihyb,732A,N,220727,7292022,1,qgd,PG_Ihyb_220729.txt,311
Ihyb_530A_N_220727_7292022_02.qgd,Ihyb,530A,N,220727,7292022,2,qgd,PG_Ihyb_220729.txt,319
Ihyb_797A_N_220727_7292022_03.qgd,Ihyb,797A,N,220727,7292022,3,qgd,PG_Ihyb_220729.txt,315
Ihyb_798A_N_220727_7292022_04.qgd,Ihyb,798A,N,220727,7292022,4,qgd,PG_Ihyb_220729.txt,313
Ihyb_719A_N_220727_7292022_05.qgd,Ihyb,719A,N,220727,7292022,5,qgd,PG_Ihyb_220729.txt,312
Ihyb_706A_N_220727_7292022_06.qgd,Ihyb,706A,N,220727,7292022,6,qgd,PG_Ihyb_220729.txt,318
Ihyb_701A_N_220727_7292022_07.qgd,Ihyb,701A,N,220727,7292022,7,qgd,PG_Ihyb_220729.txt,316
Ihyb_701B_N_220727_7292022_08.qgd,Ihyb,701B,N,220727,7292022,8,qgd,PG_Ihyb_220729.txt,327
Ihyb_732B_N_220727_7292022_09.qgd,Ihyb,732B,N,220727,7292022,9,qgd,PG_Ihyb_220729.txt,312
Ihyb_530B_N_220727_7292022_10.qgd,Ihyb,530B,N,220727,7292022,10,qgd,PG_Ihyb_220729.txt,322
Ihyb_503A_N_220727_812022_01.qgd,Ihyb,503A,N,220727,812022,1,qgd,PG_Ihyb_220801_1.txt,314
Ihyb_506A_N_220727_812022_02.qgd,Ihyb,506A,N,220727,812022,2,qgd,PG_Ihyb_220801_1.txt,304
Ihyb_799A_N_220727_812022_03.qgd,Ihyb,799A,N,220727,812022,3,qgd,PG_Ihyb_220801_1.txt,332
Ihyb_525A_N_220727_812022_04.qgd,Ihyb,525A,N,220727,812022,4,qgd,PG_Ihyb_220801_1.txt,322
Ihyb_502A_N_220727_812022_05.qgd,Ihyb,502A,N,220727,812022,5,qgd,PG_Ihyb_220801_1.txt,328
Ihyb_703A_N_220727_812022_06.qgd,Ihyb,703A,N,220727,812022,6,qgd,PG_Ihyb_220801_1.txt,330
Ihyb_709A_N_220727_812022_07.qgd,Ihyb,709A,N,220727,812022,7,qgd,PG_Ihyb_220801_1.txt,317
Ihyb_AIRAA_N_220727_812022_08.qgd,Ihyb,AIRAA,N,220727,812022,8,qgd,PG_Ihyb_220801_1.txt,331
Ihyb_799B_N_220727_812022_09.qgd,Ihyb,799B,N,220727,812022,9,qgd,PG_Ihyb_220801_1.txt,316
Ihyb_721B_N_220727_812022_10.qgd,Ihyb,721B,N,220727,812022,10,qgd,PG_Ihyb_220801_1.txt,267
Ihyb_718B_N_220727_812022_11.qgd,Ihyb,718B,N,220727,812022,11,qgd,PG_Ihyb_220801_1.txt,318
Ihyb_726B_N_220727_812022_12.qgd,Ihyb,726B,N,220727,812022,12,qgd,PG_Ihyb_220801_1.txt,320
Ihyb_713B_N_220727_812022_13.qgd,Ihyb,713B,N,220727,812022,13,qgd,PG_Ihyb_220801_1.txt,314
Ihyb_709B_N_220727_812022_14.qgd,Ihyb,709B,N,220727,812022,14,qgd,PG_Ihyb_220801_1.txt,316
Ihyb_703B_N_220727_812022_15.qgd,Ihyb,703B,N,220727,812022,15,qgd,PG_Ihyb_220801_1.txt,257
Ihyb_715unreadable_D_220728_812022_01.qgd,Ihyb,715,D,220728,812022,1,qgd,PG_Ihyb_220801b_1.txt,335
Ihyb_718_D_220728_812022_02.qgd,Ihyb,718,D,220728,812022,2,qgd,PG_Ihyb_220801b_1.txt,323
Ihyb_721_D_220728_812022_03.qgd,Ihyb,721,D,220728,812022,3,qgd,PG_Ihyb_220801b_1.txt,326
Ihyb_797_D_220728_812022_04.qgd,Ihyb,797,D,220728,812022,4,qgd,PG_Ihyb_220801b_1.txt,322
Ihyb_719_D_220728_812022_05.qgd,Ihyb,719,D,220728,812022,5,qgd,PG_Ihyb_220801b_1.txt,315
Ihyb_706_D_220728_812022_06.qgd,Ihyb,706,D,220728,812022,6,qgd,PG_Ihyb_220801b_1.txt,325
Ihyb_798_D_220728_812022_07.qgd,Ihyb,798,D,220728,812022,7,qgd,PG_Ihyb_220801b_1.txt,316
Ihyb_721_N_220727_812022_08.qgd,Ihyb,721,N,220727,812022,8,qgd,PG_Ihyb_220801b_1.txt,327
Ihyb_314_N_220727_812022_09.qgd,Ihyb,314,N,220727,812022,9,qgd,PG_Ihyb_220801b_1.txt,340
Ihyb_721Bredo_N_220727_812022_10.qgd,Ihyb,721B,N,220727,812022,10,qgd,PG_Ihyb_220801b_1.txt,328
Ihyb_715_N_220727_812022_11.qgd,Ihyb,715,N,220727,812022,11,qgd,PG_Ihyb_220801b_1.txt,325
Ihyb_726_N_220727_812022_12.qgd,Ihyb,726,N,220727,812022,12,qgd,PG_Ihyb_220801b_1.txt,339
Ihyb_713_N_220727_812022_13.qgd,Ihyb,713,N,220727,812022,13,qgd,PG_Ihyb_220801b_1.txt,326
Ihyb_712_N_220727_812022_14.qgd,Ihyb,712,N,220727,812022,14,qgd,PG_Ihyb_220801b_1.txt,323
Ihyb_AIRDH_N_220727_812022_15.qgd,Ihyb,AIRDH,N,220727,812022,15,qgd,PG_Ihyb_220801b_1.txt,326
Ihyb_726Aredo_D_220727_812022_16.qgd,Ihyb,726A,D,220728,812022,16,qgd,PG_Ihyb_220801b_1.txt,325
Ihyb_715B_N_220727_812022_01.qgd,Ihyb,715B,N,220727,812022,1,qgd,PG_Ihyb_220801c_1.txt,336
Ihyb_712BBrokenTrap_N_220727_812022_02.qgd,Ihyb,712B,N,220727,812022,2,qgd,PG_Ihyb_220801c_1.txt,317
Ihyb_718_N_220727_812022_03.qgd,Ihyb,718,N,220727,812022,3,qgd,PG_Ihyb_220801c_1.txt,339
Ihyb_712A_D_220728_812022_04.qgd,Ihyb,712A,D,220728,812022,4,qgd,PG_Ihyb_220801c_1.txt,339
Ihyb_713_D_220728_812022_05.qgd,Ihyb,713,D,220728,812022,5,qgd,PG_Ihyb_220801c_1.txt,328
Ihyb_731B_N_220727_812022_06.qgd,Ihyb,731B,N,220727,812022,6,qgd,PG_Ihyb_220801c_1.txt,327
Ihyb_509C_N_220727_812022_07.qgd,Ihyb,509C,N,220727,812022,7,qgd,PG_Ihyb_220801c_1.txt,319
Ihyb_509B_N_220727_812022_08.qgd,Ihyb,509B,N,220727,812022,8,qgd,PG_Ihyb_220801c_1.txt,317
Ihyb_101B_N_220727_812022_09.qgd,Ihyb,101B,N,220727,812022,9,qgd,PG_Ihyb_220801c_1.txt,333
Ihyb_729B_N_220727_812022_10.qgd,Ihyb,729B,N,220727,812022,10,qgd,PG_Ihyb_220801c_1.txt,318
Ihyb_512B_N_220727_812022_11.qgd,Ihyb,512B,N,220727,812022,11,qgd,PG_Ihyb_220801c_1.txt,328
Ihyb_AIRDH_N_220727_812022_12.qgd,Ihyb,AIRDH,N,220727,812022,12,qgd,PG_Ihyb_220801c_1.txt,319
Ihyb_707B_N_220727_812022_13.qgd,Ihyb,707B,N,220727,812022,13,qgd,PG_Ihyb_220801c_1.txt,244
Ihyb_797B_N_220727_812022_14.qgd,Ihyb,797B,N,220727,812022,14,qgd,PG_Ihyb_220801c_1.txt,311
Ihyb_798B_N_220727_812022_15.qgd,Ihyb,798B,N,220727,812022,15,qgd,PG_Ihyb_220801c_1.txt,327
Ihyb_706B_N_220727_812022_16.qgd,Ihyb,706B,N,220727,812022,16,qgd,PG_Ihyb_220801c_1.txt,330
Ihyb_719B_N_220727_812022_17.qgd,Ihyb,719B,N,220727,812022,17,qgd,PG_Ihyb_220801c_1.txt,322
Ihyb_AIRJP_N_220727_812022_18.qgd,Ihyb,AIRJP,N,220727,812022,18,qgd,PG_Ihyb_220801c_1.txt,324
Ihyb_707_D_220728_812022_19.qgd,Ihyb,707,D,220728,812022,19,qgd,PG_Ihyb_220801c_1.txt,308
Ihyb_731_D_220727_812022_20.qgd,Ihyb,731,D,220728,812022,20,qgd,PG_Ihyb_220801c_1.txt,303
Ihyb_T1_N_220727_822022_01.qgd,Ihyb,706A,N,220727,822022,1,qgd,PG_Ihyb_220802_1.txt,314
Ihyb_T2_N_220727_822022_02.qgd,Ihyb,701A,N,220727,822022,2,qgd,PG_Ihyb_220802_1.txt,319
Ihyb_T3_N_220727_822022_03.qgd,Ihyb,701B,N,220727,822022,3,qgd,PG_Ihyb_220802_1.txt,327
Ihyb_T4_N_220727_822022_04.qgd,Ihyb,732B,N,220727,822022,4,qgd,PG_Ihyb_220802_1.txt,343
Ihyb_T5_N_220727_822022_05.qgd,Ihyb,530B,N,220727,822022,5,qgd,PG_Ihyb_220802_1.txt,323
Ihyb_T6_N_220727_822022_06.qgd,Ihyb,732A,N,220727,822022,6,qgd,PG_Ihyb_220802_1.txt,308
Ihyb_T7_N_220727_822022_07.qgd,Ihyb,530A,N,220727,822022,7,qgd,PG_Ihyb_220802_1.txt,310
Ihyb_T8_D_220712_822022_08.qgd,Ihyb,718,D,220712,822022,8,qgd,PG_Ihyb_220802_1.txt,313
Ihyb_T9_D_220712_822022_09.qgd,Ihyb,AIRDH,D,220712,822022,9,qgd,PG_Ihyb_220802_1.txt,317
Ihyb_T10_D_220712_822022_10.qgd,Ihyb,590,D,220712,822022,10,qgd,PG_Ihyb_220802_1.txt,331
Ihyb_T11_D_220712_822022_11.qgd,Ihyb,510,D,220712,822022,11,qgd,PG_Ihyb_220802_1.txt,316
Ihyb_T12_D_220712_822022_12.qgd,Ihyb,729,D,220712,822022,12,qgd,PG_Ihyb_220802_1.txt,330
Ihyb_707B_N_220727_822022_13.qgd,Ihyb,707B,N,220727,822022,13,qgd,PG_Ihyb_220802_1.txt,317
Ihyb_T14_D_220712_822022_14.qgd,Ihyb,799,D,220712,822022,14,qgd,PG_Ihyb_220802_1.txt,332
Ihyb_T15_D_220712_822022_15.qgd,Ihyb,701,D,220712,822022,15,qgd,PG_Ihyb_220802_1.txt,319
Ihyb_T16_D_220712_822022_16.qgd,Ihyb,101,D,220712,822022,16,qgd,PG_Ihyb_220802_1.txt,329
Ihyb_T17_D_220712_822022_17.qgd,Ihyb,506,D,220712,822022,17,qgd,PG_Ihyb_220802_1.txt,308
Ihyb_T18_D_220712_822022_18.qgd,Ihyb,503,D,220712,822022,18,qgd,PG_Ihyb_220802_1.txt,329
Ihyb_T19_D_220712_822022_19.qgd,Ihyb,721,D,220712,822022,19,qgd,PG_Ihyb_220802_1.txt,315
Ihyb_T20_D_220712_822022_20.qgd,Ihyb,712,D,220712,822022,20,qgd,PG_Ihyb_220802_1.txt,323
Ihyb_701A_N_220711_822022_01.qgd,Ihyb,701A,N,220711,822022,1,qgd,PG_Ihyb_220802b_1.txt,329
Ihyb_AIRDHB_D_220712_822022_02.qgd,Ihyb,AIRDHB,D,220712,822022,2,qgd,PG_Ihyb_220802b_1.txt,332
Ihyb_713_D_220712_822022_03.qgd,Ihyb,713,D,220712,822022,3,qgd,PG_Ihyb_220802b_1.txt,337
Ihyb_731_D_220712_822022_04.qgd,Ihyb,731,D,220712,822022,4,qgd,PG_Ihyb_220802b_1.txt,318
Ihyb_707_D_220712_822022_05.qgd,Ihyb,707,D,220712,822022,5,qgd,PG_Ihyb_220802b_1.txt,318
Ihyb_706_D_220712_822022_06.qgd,Ihyb,706,D,220712,822022,6,qgd,PG_Ihyb_220802b_1.txt,326
Ihyb_719_D_220712_822022_07.qgd,Ihyb,719,D,220712,822022,7,qgd,PG_Ihyb_220802b_1.txt,325
Ihyb_798_D_220712_822022_08.qgd,Ihyb,798,D,220712,822022,8,qgd,PG_Ihyb_220802b_1.txt,322
Ihyb_NOIDJP_D_220712_822022_09.qgd,Ihyb,NOIDJP,D,220712,822022,9,qgd,PG_Ihyb_220802b_1.txt,313
Ihyb_797_D_220712_822022_10.qgd,Ihyb,797,D,220712,822022,10,qgd,PG_Ihyb_220802b_1.txt,318
Ihyb_726_D_220712_822022_11.qgd,Ihyb,726,D,220712,822022,11,qgd,PG_Ihyb_220802b_1.txt,330
Ihyb_737_D_220712_822022_12.qgd,Ihyb,732,D,220712,822022,12,qgd,PG_Ihyb_220802b_1.txt,336
Ihyb_732_D_220712_822022_13.qgd,Ihyb,530,D,220712,822022,13,qgd,PG_Ihyb_220802b_1.txt,332
Ihyb_530_D_220712_822022_14.qgd,Ihyb,715A,D,220712,822022,14,qgd,PG_Ihyb_220802b_1.txt,326
Ihyb_715A_N_220711_822022_15.qgd,Ihyb,797B,N,220711,822022,15,qgd,PG_Ihyb_220802b_1.txt,327
Ihyb_797B_N_220711_822022_16.qgd,Ihyb,798B,N,220711,822022,16,qgd,PG_Ihyb_220802b_1.txt,328
Ihyb_798B_N_220711_822022_17.qgd,Ihyb,506A,N,220711,822022,17,qgd,PG_Ihyb_220802b_1.txt,320
Ihyb_506A_N_220711_822022_18.qgd,Ihyb,503A,N,220711,822022,18,qgd,PG_Ihyb_220802b_1.txt,332
Ihyb_503A_N_220711_822022_19.qgd,Ihyb,799A,N,220711,822022,19,qgd,PG_Ihyb_220802b_1.txt,334
Ihyb_799A_N_220711_822022_20.qgd,Ihyb,717A,N,220711,822022,20,qgd,PG_Ihyb_220802b_1.txt,327
Ihyb_717A_N_220711_822022_21.qgd,Ihyb,797A,N,220711,822022,21,qgd,PG_Ihyb_220802b_1.txt,326
Ihyb_797A_N_220711_822022_22.qgd,Ihyb,798A,N,220711,822022,22,qgd,PG_Ihyb_220802b_1.txt,307
Ihyb_798A_N_220711_822022_23.qgd,Ihyb,706A,N,220711,822022,23,qgd,PG_Ihyb_220802b_1.txt,330
Ihyb_706A_N_220711_822022_24.qgd,Ihyb,732A,N,220711,822022,24,qgd,PG_Ihyb_220802b_1.txt,321
Ihyb_732A_N_220711_822022_25.qgd,Ihyb,530A,N,220711,822022,25,qgd,PG_Ihyb_220802b_1.txt,325
Ihyb_530A_N_220711_822022_26.qgd,Ihyb,712,N,220711,822022,26,qgd,PG_Ihyb_220802b_1.txt,306
Ihyb_712_N_220711_822022_27.qgd,Ihyb,718A,N,220711,822022,27,qgd,PG_Ihyb_220802b_1.txt,304
Ihyb_718A_N_220711_822022_28.qgd,Ihyb,712B,N,220711,822022,28,qgd,PG_Ihyb_220802b_1.txt,319
Ihyb_712B_N_220711_822022_29.qgd,Ihyb,719A,N,220711,822022,29,qgd,PG_Ihyb_220802b_1.txt,321
Ihyb_84aT1_N_220711_842022_01.qgd,Ihyb,713A,N,220711,842022,1,qgd,PG_Ihyb_220804_1.txt,324
