site,plant,treatment
Lagg,76,ambient
Ihyb,101,ambient
Lagg,280,ambient
Lagg,281,ambient
Lagg,283,ambient
Lagg,293,ambient
Lagg,297,ambient
Ihyb,314,ambient
Lagg,317,ambient
Lagg,320,ambient
Lagg,322,ambient
Lagg,323,ambient
Lagg,325,ambient
Lagg,332,ambient
Lagg,334,ambient
Lagg,337,ambient
Lagg,341,ambient
Lagg,344,ambient
Lagg,415,ambient
Ihyb,502,ambient
Ihyb,503,ambient
Ihyb,506,ambient
Ihyb,509,ambient
Ihyb,510,ambient
Ihyb,512,ambient
Ihyb,525,ambient
Ihyb,530,ambient
Lagg,539,nitrogen
Lagg,540,nitrogen
Lagg,541,water control
Lagg,543,nitrogen
Lagg,546,ambient
Lagg,548,nitrogen
Lagg,550,water control
Lagg,551,ambient
Lagg,554,ambient
Lagg,562,water control
Lagg,563,ambient
Lagg,566,nitrogen
Lagg,568,nitrogen
Lagg,574,water control
Lagg,584,water control
Lagg,585,nitrogen
Lagg,588,ambient
Lagg,589,water control
Lagg,590,ambient
Lagg,593,ambient
Lagg,596,water control
Lagg,598,ambient
Lagg,599,ambient
Lagg,601,water control
Lagg,607,ambient
Lagg,608,nitrogen
Lagg,613,nitrogen
Lagg,614,ambient
Lagg,615,nitrogen
Lagg,616,water control
Ihyb,701,nitrogen
Ihyb,703,water control
Ihyb,705,water control
Ihyb,706,nitrogen
Ihyb,707,water control
Ihyb,709,water control
Ihyb,712,water control
Ihyb,713,water control
Ihyb,715,nitrogen
Ihyb,717,water control
Ihyb,718,nitrogen
Ihyb,719,nitrogen
Ihyb,721,water control
Ihyb,726,nitrogen
Ihyb,729,nitrogen
Ihyb,731,nitrogen
Ihyb,732,water control
Ihyb,737,water control
Ihyb,797,nitrogen
Ihyb,798,ambient
Ihyb,799,nitrogen
Lagg,2100,ambient
Lagg,near85,ambient