date,time,vial,color,color2,plant,bag,pump,end,flowers,buds,pumpID,soil_moisture,height,notes,FileName,sample2,experiment,sample_date,run_date,gc_sequence_number,.qgd,sequence.start,verdict,index
2023-07-24,D,17,NA,NA,4-82,1899-12-30T10:02:00Z,1899-12-30T10:47:00Z,1899-12-30T10:47:00Z,1,1,DRC7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,47,NA,NA,1-52,1899-12-30T10:18:00Z,1899-12-30T11:03:00Z,1899-12-30T11:03:00Z,1,0,DRC9,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,49,NA,NA,1-28,1899-12-30T10:20:00Z,1899-12-30T11:05:00Z,1899-12-30T11:05:00Z,1,2,DRC5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,48,NA,NA,2-68,1899-12-30T10:21:00Z,1899-12-30T11:07:00Z,1899-12-30T11:07:00Z,1,0,DRC8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,31,NA,NA,1-1,1899-12-30T10:44:00Z,1899-12-30T11:29:00Z,1899-12-30T11:29:00Z,1,0,DRC7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,21,NA,NA,max92,1899-12-30T10:45:00Z,1899-12-30T11:31:00Z,1899-12-30T11:31:00Z,1,1,DRC9,,,Trap out of bag ~ 2mins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,50,NA,NA,1-56,1899-12-30T10:54:00Z,1899-12-30T11:39:00Z,1899-12-30T11:39:00Z,1,0,DRC8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,22,NA,NA,1-53,1899-12-30T10:55:00Z,1899-12-30T11:40:00Z,1899-12-30T11:40:00Z,1,0,DRC5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,43,NA,NA,1-38,1899-12-30T11:04:00Z,1899-12-30T11:50:00Z,1899-12-30T11:50:00Z,1,0,DRC7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,44,NA,NA,1-48,1899-12-30T11:07:00Z,1899-12-30T11:52:00Z,1899-12-30T11:52:00Z,1,1,DRC9,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,45,NA,NA,6-64,1899-12-30T11:11:00Z,1899-12-30T11:56:00Z,1899-12-30T11:56:00Z,1,0,DRC8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,46,NA,NA,1-2,1899-12-30T11:12:00Z,1899-12-30T11:57:00Z,1899-12-30T11:57:00Z,1,0,DRC5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,5,NA,NA,1-51,1899-12-30T09:04:00Z,1899-12-30T09:40:00Z,1899-12-30T09:55:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,38,NA,NA,4-83,1899-12-30T10:21:00Z,1899-12-30T10:51:00Z,1899-12-30T11:06:00Z,1,0,DRC10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,39,NA,NA,1-63,1899-12-30T10:22:00Z,1899-12-30T10:52:00Z,1899-12-30T11:07:00Z,1,0,DRC1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,40,NA,NA,1-37,1899-12-30T10:22:00Z,1899-12-30T10:52:00Z,1899-12-30T11:07:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,32,NA,NA,4-79,1899-12-30T10:37:00Z,1899-12-30T11:09:00Z,1899-12-30T11:24:00Z,1,0,DRC10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,33,NA,NA,4-85,1899-12-30T10:39:00Z,1899-12-30T11:16:00Z,1899-12-30T11:25:00Z,1,0,DRC1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,34,NA,NA,1-14,1899-12-30T10:40:00Z,1899-12-30T11:25:00Z,1899-12-30T11:40:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,41,NA,NA,1-25,1899-12-30T10:58:00Z,1899-12-30T11:28:00Z,1899-12-30T11:43:00Z,1,0,DRC10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,42,NA,NA,1-54,1899-12-30T10:59:00Z,1899-12-30T11:29:00Z,1899-12-30T11:44:00Z,1,0,DRC1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,60,NA,NA,1-61,1899-12-30T11:00:00Z,1899-12-30T11:41:00Z,1899-12-30T11:56:00Z,1,0,DRC10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,69,NA,NA,AMB,1899-12-30T11:13:00Z,1899-12-30T11:43:00Z,1899-12-30T11:57:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,70,NA,NA,373,1899-12-30T11:16:00Z,1899-12-30T11:46:00Z,1899-12-30T12:01:00Z,1,0,DRC10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,51,NA,NA,375,1899-12-30T11:18:00Z,1899-12-30T11:57:00Z,1899-12-30T12:12:00Z,1,0,DRC1,,,Trap fell out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,52,NA,NA,480,1899-12-30T11:48:00Z,1899-12-30T12:28:00Z,1899-12-30T12:43:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,53,NA,NA,1-8,1899-12-30T12:36:00Z,1899-12-30T12:19:00Z,1899-12-30T13:34:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,54,NA,NA,4-77,1899-12-30T12:43:00Z,1899-12-30T13:22:00Z,1899-12-30T13:37:00Z,1,0,DRC1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,103,NA,NA,2-66,1899-12-30T10:15:00Z,1899-12-30T10:45:00Z,1899-12-30T11:00:00Z,1,0,JMP1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,95,NA,NA,1-60,1899-12-30T10:17:00Z,1899-12-30T10:47:00Z,1899-12-30T11:02:00Z,1,0,CWu1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,104,NA,NA,DHAMB,1899-12-30T10:18:00Z,1899-12-30T10:48:00Z,1899-12-30T11:03:00Z,1,NA,JMP3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,107,NA,NA,1-47,1899-12-30T10:30:00Z,1899-12-30T11:00:00Z,1899-12-30T11:15:00Z,1,0,JMP2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,106,NA,NA,1-22,1899-12-30T10:31:00Z,1899-12-30T11:03:00Z,1899-12-30T11:18:00Z,1,3,JMP1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,108,NA,NA,3-90,1899-12-30T10:32:00Z,1899-12-30T11:05:00Z,1899-12-30T11:20:00Z,1,0,JMP3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,109,NA,NA,3-89,1899-12-30T10:35:00Z,1899-12-30T11:08:00Z,1899-12-30T11:23:00Z,1,0,CWu1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,110,NA,NA,max95,1899-12-30T10:56:00Z,1899-12-30T11:26:00Z,1899-12-30T11:41:00Z,1,0,JMP2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,91,NA,NA,113,1899-12-30T10:58:00Z,1899-12-30T11:36:00Z,1899-12-30T11:51:00Z,1,0,JMP1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,57,NA,NA,4-81,1899-12-30T11:14:00Z,1899-12-30T11:44:00Z,1899-12-30T12:00:00Z,1,0,JMP3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,58,NA,NA,3-72,1899-12-30T11:24:00Z,1899-12-30T11:54:00Z,1899-12-30T12:09:00Z,1,0,CWu1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,67,NA,NA,1-29,1899-12-30T11:27:00Z,1899-12-30T11:57:00Z,1899-12-30T12:12:00Z,1,0,JMP2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,68,NA,NA,1-32,1899-12-30T11:33:00Z,1899-12-30T12:03:00Z,1899-12-30T12:18:00Z,1,0,JMP1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,62,W,NA,1-45,1899-12-30T20:04:00Z,1899-12-30T20:34:00Z,1899-12-30T20:49:00Z,1,0,CWu1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,25,NA,NA,1-44,1899-12-30T10:09:00Z,1899-12-30T10:39:00Z,1899-12-30T10:54:00Z,1,0,DRC4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,26,NA,NA,4-84,1899-12-30T10:11:00Z,1899-12-30T10:41:00Z,1899-12-30T10:56:00Z,1,0,CWu2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,23,NA,NA,AMB,1899-12-30T10:24:00Z,1899-12-30T10:54:00Z,1899-12-30T11:09:00Z,NA,NA,DRC4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,24,NA,NA,1-10,1899-12-30T10:42:00Z,1899-12-30T11:12:00Z,1899-12-30T11:27:00Z,1,0,CWu2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,35,NA,NA,1-4,1899-12-30T10:53:00Z,1899-12-30T11:27:00Z,1899-12-30T11:42:00Z,1,0,DRC4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,36,NA,NA,max93,1899-12-30T11:05:00Z,1899-12-30T11:35:00Z,1899-12-30T11:50:00Z,1,0,CWu2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,D,59,NA,NA,5-88,1899-12-30T11:17:00Z,1899-12-30T11:47:00Z,1899-12-30T12:02:00Z,1,0,DRC4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,N,10,W,NA,1-4,1899-12-30T20:08:00Z,1899-12-30T20:39:00Z,1899-12-30T20:43:00Z,1,0,DRC10,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,N,55,W,W,1-44,1899-12-30T20:05:00Z,1899-12-30T20:35:00Z,1899-12-30T20:50:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,N,76,R,NA,1-28,1899-12-30T20:24:00Z,1899-12-30T21:13:00Z,1899-12-30T21:28:00Z,1,0,JMP2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,N,115,R,NA,1-83,1899-12-30T21:19:00Z,1899-12-30T21:51:00Z,1899-12-30T22:07:00Z,1,0,CWu2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,N,66,W,W,6-64,1899-12-30T20:22:00Z,1899-12-30T20:52:00Z,1899-12-30T21:07:00Z,1,0,DRC8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,N,76,W,NA,3-89,1899-12-30T20:23:00Z,1899-12-30T20:53:00Z,1899-12-30T21:08:00Z,1,0,DRC4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-24,N,66,R,R,max93,1899-12-30T21:21:00Z,1899-12-30T21:54:00Z,1899-12-30T22:09:00Z,1,0,DRC4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-31,N,530,NA,NA,1-34,1899-12-30T21:56:00Z,1899-12-30T22:28:00Z,1899-12-30T22:43:00Z,1,0,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-31,N,389,NA,NA,3-72,1899-12-30T22:03:00Z,1899-12-30T22:34:00Z,1899-12-30T22:49:00Z,1,2,DRC1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-28,D,459,NA,NA,4-84,1899-12-30T09:47:00Z,1899-12-30T10:17:00Z,1899-12-30T10:32:00Z,1,0,CWU2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-28,D,468,NA,NA,3-99,1899-12-30T10:35:00Z,1899-12-30T11:08:00Z,1899-12-30T11:23:00Z,1,0,JMP3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-28,D,474,NA,NA,1-39,1899-12-30T11:02:00Z,1899-12-30T11:33:00Z,1899-12-30T11:49:00Z,1,0,JMP1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-28,D,479,NA,NA,1-15,1899-12-30T11:04:00Z,1899-12-30T11:34:00Z,1899-12-30T11:49:00Z,1,0,JMP2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-28,D,472,NA,NA,5-87,1899-12-30T11:05:00Z,1899-12-30T11:35:00Z,1899-12-30T11:50:00Z,1,0,JMP3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-31,D,316,NA,NA,4-78,1899-12-30T09:05:00Z,1899-12-30T09:35:00Z,1899-12-30T09:50:00Z,1,2,DRC3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-31,D,315,NA,NA,1-22,1899-12-30T09:17:00Z,1899-12-30T09:47:00Z,1899-12-30T10:02:00Z,1,1,DRC8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-28,D,477,NA,NA,max96,1899-12-30T10:55:00Z,1899-12-30T11:25:00Z,1899-12-30T11:41:00Z,1,0,DRC9,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
